"locale_id","city","state","temperature","feels_like"
3928,"Mairiporã","SP","20.0","20.0"
3926,"Oliveira Dos Brejinhos","BA","23.0","23.0"
3912,"Lucélia","SP","25.0","25.0"
3927,"Planaltino","BA","24.0","24.0"
3931,"Manduri","SP","22.0","22.0"
3930,"São Gonçalo Dos Campos","BA","26.0","27.0"
3918,"Andorinha","BA","26.0","27.0"
3916,"Luiziânia","SP","22.0","22.0"
3933,"Maracaí","SP","23.0","23.0"
3935,"Maresias","SP","20.0","20.0"
3934,"Marapoama","SP","23.0","23.0"
3913,"São Francisco Do Conde","BA","26.0","28.0"
3924,"Magda","SP","26.0","24.0"
3943,"Marília","SP","21.0","21.0"
3947,"Rochedo","MS","26.0","27.0"
3945,"Martinópolis","SP","24.0","24.0"
3948,"Nova Guarita","MT","26.0","28.0"
3929,"São Félix Do Coribe","BA","26.0","27.0"
3939,"Jaupaci","GO","26.0","26.0"
3915,"Luíz Antônio","SP","23.0","23.0"
3946,"Matão","SP","22.0","22.0"
3949,"Ribeirão Cascalheira","MT","28.0","29.0"
3914,"Lucianópolis","SP","21.0","21.0"
3932,"Marabá Paulista","SP","25.0","25.0"
3937,"Castelândia","GO","27.0","27.0"
3951,"Dom Eliseu","PA","24.0","24.0"
3952,"Triunfo","PE","23.0","23.0"
3936,"Buriti Alegre","GO","25.0","25.0"
3958,"Miguelópolis","SP","25.0","25.0"
3941,"Mariápolis","SP","26.0","26.0"
3940,"Montes Claros De Goiás","GO","25.0","25.0"
3938,"Goiandira","GO","24.0","24.0"
3956,"Meridiano","SP","27.0","28.0"
3954,"Mauá","SP","18.0","18.0"
3962,"Mirandópolis","SP","25.0","25.0"
3955,"Mendonça","SP","23.0","23.0"
3944,"Marinópolis","SP","25.0","25.0"
3957,"Mesópolis","SP","26.0","27.0"
3965,"Antas","BA","25.0","25.0"
3942,"Porteirão","GO","27.0","27.0"
3966,"Biritinga","BA","27.0","28.0"
3950,"Ribeirãozinho","MT","25.0","25.0"
3968,"Mirassol","SP","23.0","23.0"
3972,"Itagimirim","BA","22.0","22.0"
3969,"Costa Do Sauípe","BA","28.0","32.0"
3971,"Iguaí","BA","23.0","23.0"
3961,"Mira Estrela","SP","26.0","27.0"
3953,"Baixa Grande Do Ribeiro","PI","23.0","23.0"
3960,"Miracatu","SP","22.0","22.0"
3976,"Rio Antônio","BA","23.0","23.0"
3959,"Mineiros Do Tietê","SP","22.0","22.0"
3980,"Ceres","GO","26.0","27.0"
3979,"Brazabrantes","GO","23.0","23.0"
3963,"Mirante Do Paranapanema","SP","26.0","27.0"
3981,"Cristianópolis","GO","25.0","25.0"
3964,"Inhapi","AL","26.0","27.0"
3984,"Inhumas","GO","23.0","23.0"
3973,"Itambé","BA","23.0","23.0"
3977,"Rio Do Pires","BA","25.0","25.0"
3987,"Santo Antônio De Goiás","GO","23.0","23.0"
3967,"Mirassolândia","SP","25.0","25.0"
3974,"Itanhém","BA","24.0","24.0"
3975,"Ponto Novo","BA","26.0","27.0"
3970,"Ibicuí","BA","24.0","24.0"
3982,"Macapá","AP","27.0","30.0"
3992,"Itaporanga","PB","25.0","25.0"
3993,"Picuí","PB","27.0","27.0"
3978,"São Domingos","BA","26.0","27.0"
3995,"Tabira","PE","24.0","24.0"
3986,"Sanclerlândia","GO","25.0","25.0"
3989,"Japorã","MS","26.0","27.0"
4000,"Irundiara","BA","22.0","22.0"
3985,"Ivolândia","GO","25.0","25.0"
4006,"Leopoldo De Bulhões","GO","22.0","22.0"
4001,"Itagi","BA","23.0","23.0"
3988,"Chumbo","MG","23.0","23.0"
3983,"Guarinos","GO","28.0","28.0"
3991,"Feliz Natal","MT","26.0","27.0"
3990,"Novo Horizonte Do Sul","MS","27.0","28.0"
3994,"Sanharó","PE","23.0","23.0"
3999,"Dário Meira","BA","23.0","23.0"
4012,"Mogi-Mirim","SP","24.0","24.0"
4003,"Montividiu Do Norte","GO","26.0","27.0"
4011,"Mogi-Guaçu","SP","24.0","24.0"
3998,"Cocos","BA","25.0","25.0"
4002,"Mara Rosa","GO","27.0","28.0"
3996,"Vicência","PE","27.0","29.0"
4010,"Fátima","BA","27.0","27.0"
4005,"Ulianópolis","PA","24.0","24.0"
4007,"Mococa","SP","25.0","25.0"
4016,"Olindina","BA","28.0","30.0"
4018,"Mombuca","SP","21.0","21.0"
4015,"Matina","BA","25.0","23.0"
4019,"Monções","SP","25.0","25.0"
4004,"Tailândia","PA","24.0","24.0"
3997,"Barra D'Alcântara","PI","24.0","24.0"
4026,"Turvânia","GO","25.0","25.0"
4008,"Mogi Das Cruzes","SP","19.0","19.0"
4009,"Caturama","BA","25.0","25.0"
4029,"Conchal","SP","23.0","23.0"
4024,"Doverlândia","GO","25.0","25.0"
4014,"Jeremoabo","BA","25.0","25.0"
4031,"Conceição Do Ibitipoca","MG","19.0","19.0"
4028,"Arame","MA","24.0","24.0"
4013,"Jaguaquara","BA","22.0","22.0"
4032,"Dois Irmãos Do Buriti","MS","27.0","28.0"
4033,"Denise","MT","25.0","25.0"
